timestamp,value
2019-07-04 22:48:05,24.9
2019-07-04 23:00:06,24.9
2019-07-04 23:16:05,24.9
2019-07-04 23:32:05,24.9
2019-07-04 23:48:05,24.9
2019-07-05 00:00:06,24.9
2019-07-05 00:16:06,24.8
2019-07-05 00:32:06,24.8
2019-07-05 00:48:06,24.8
2019-07-05 01:00:06,24.8
2019-07-05 01:16:05,24.8
2019-07-05 01:32:06,24.8
2019-07-05 02:00:06,24.8
2019-07-05 02:16:06,24.7
2019-07-05 02:32:05,24.7
2019-07-05 02:48:06,24.7
2019-07-05 03:00:06,24.7
2019-07-05 03:16:05,24.7
2019-07-05 03:32:06,24.7
2019-07-05 03:48:05,24.6
2019-07-05 04:00:06,24.6
2019-07-05 04:16:06,24.6
2019-07-05 04:32:06,24.6
2019-07-05 04:48:06,24.6
2019-07-05 05:00:06,24.6
2019-07-05 05:16:06,24.5
2019-07-05 05:32:06,24.5
2019-07-05 05:48:06,24.5
2019-07-05 06:00:06,24.5
2019-07-05 06:16:05,24.5
2019-07-05 06:32:06,24.5
2019-07-05 06:48:05,24.5
2019-07-05 07:00:06,24.5
2019-07-05 07:16:06,24.6
2019-07-05 07:32:06,24.7
2019-07-05 08:00:06,24.7
2019-07-05 08:16:05,24.9
2019-07-05 08:32:06,25.0
2019-07-05 08:39:42,25.1
2019-07-05 08:48:05,25.1
2019-07-05 08:55:32,25.1
2019-07-05 09:02:00,25.1
2019-07-05 09:10:11,25.2
2019-07-05 09:20:13,25.2
2019-07-05 09:30:17,25.2
2019-07-05 09:40:11,25.2
2019-07-05 09:50:13,25.3
2019-07-05 10:00:15,25.4
2019-07-05 10:10:11,25.5
2019-07-05 10:20:14,25.5
2019-07-05 10:30:15,25.5
2019-07-05 10:40:11,25.6
2019-07-05 10:50:13,25.6
2019-07-05 11:00:15,25.7
2019-07-05 11:10:13,25.8
2019-07-05 11:20:11,25.9
2019-07-05 11:30:13,25.9
2019-07-05 11:40:13,25.9
2019-07-05 11:50:12,25.9
2019-07-05 12:00:14,25.8
2019-07-05 12:10:12,25.8
2019-07-05 12:20:11,25.8
2019-07-05 12:30:17,25.8
2019-07-05 12:40:13,25.9
2019-07-05 12:50:13,25.9
2019-07-05 13:00:17,25.9
2019-07-05 13:10:13,25.9
2019-07-05 13:20:11,25.8
2019-07-05 13:30:15,25.8
2019-07-05 13:40:11,25.8
2019-07-05 13:50:11,25.8
2019-07-05 14:10:13,25.9
2019-07-05 14:20:11,25.8
2019-07-05 14:30:15,25.8
2019-07-05 14:40:11,25.8
2019-07-05 14:50:11,25.7
2019-07-05 15:00:16,25.7
2019-07-05 15:10:13,25.7
2019-07-05 15:20:13,25.7
2019-07-05 15:30:13,25.6
2019-07-05 15:40:13,25.6
2019-07-05 15:50:13,25.6
2019-07-05 16:00:18,25.6
2019-07-05 16:10:13,25.6
2019-07-05 16:20:13,25.6
2019-07-05 16:30:15,25.6
2019-07-05 16:40:13,25.5
2019-07-05 16:50:13,25.5
2019-07-05 17:00:15,25.5
2019-07-05 17:10:13,25.5
2019-07-05 17:20:13,25.5
2019-07-05 17:30:14,25.8
2019-07-05 17:40:13,25.8
2019-07-05 17:50:13,25.6
2019-07-05 18:00:17,25.4
2019-07-05 18:10:13,25.2
2019-07-05 18:20:14,25.1
2019-07-05 18:30:16,25.1
2019-07-05 18:40:13,25.1
2019-07-05 18:50:12,25.1
2019-07-05 19:00:17,25.1
2019-07-05 19:10:10,25.2
2019-07-05 19:20:11,25.2
2019-07-05 19:30:15,25.2
2019-07-05 19:40:13,25.2
2019-07-05 19:50:13,25.3
2019-07-05 20:00:17,25.3
2019-07-05 20:20:11,25.3
2019-07-05 20:30:13,25.3
2019-07-05 20:40:12,25.3
2019-07-05 20:50:11,25.3
2019-07-05 21:00:15,25.3
2019-07-05 21:10:13,25.3
2019-07-05 21:20:11,25.3
2019-07-05 21:30:16,25.3
2019-07-05 21:40:13,25.3
2019-07-05 21:50:13,25.3
2019-07-05 22:00:14,25.2
2019-07-05 22:10:11,25.2
2019-07-05 22:20:13,25.2
2019-07-05 22:30:13,25.2
2019-07-05 22:40:10,25.2
2019-07-05 22:50:10,25.2
2019-07-05 23:00:14,25.2
2019-07-05 23:10:12,25.2
2019-07-05 23:20:13,25.2
2019-07-05 23:30:13,25.2
2019-07-05 23:40:13,25.2
2019-07-05 23:50:13,25.1
2019-07-06 00:00:16,25.1
2019-07-06 00:10:10,25.1
2019-07-06 00:20:13,25.1
2019-07-06 00:30:13,25.1
2019-07-06 00:40:12,25.1
2019-07-06 00:50:10,25.1
2019-07-06 01:00:15,25.1
2019-07-06 01:10:11,25.1
2019-07-06 01:20:13,25.0
2019-07-06 01:30:14,25.0
2019-07-06 01:40:11,25.0
2019-07-06 01:50:10,25.0
2019-07-06 02:00:14,25.0
2019-07-06 02:10:13,25.0
2019-07-06 02:30:14,24.9
2019-07-06 02:40:12,25.0
2019-07-06 02:50:13,25.0
2019-07-06 03:00:13,24.9
2019-07-06 03:10:13,24.9
2019-07-06 03:20:12,24.9
2019-07-06 03:30:13,24.9
2019-07-06 03:40:11,24.9
2019-07-06 03:50:13,24.8
2019-07-06 04:00:16,24.8
2019-07-06 04:10:10,24.8
2019-07-06 04:20:11,24.8
2019-07-06 04:30:15,24.8
2019-07-06 04:40:13,24.8
2019-07-06 04:50:13,24.8
2019-07-06 05:00:17,24.8
2019-07-06 05:10:13,24.8
2019-07-06 05:20:13,24.8
2019-07-06 05:30:13,24.8
2019-07-06 05:40:11,24.7
2019-07-06 05:50:13,24.7
2019-07-06 06:00:17,24.7
2019-07-06 06:10:13,24.7
2019-07-06 06:20:13,24.7
2019-07-06 06:30:20,24.7
2019-07-06 06:40:11,24.7
2019-07-06 06:50:11,24.7
2019-07-06 07:00:18,24.7
2019-07-06 07:10:11,24.7
2019-07-06 07:20:11,24.7
2019-07-06 07:30:16,24.7
2019-07-06 07:40:12,24.7
2019-07-06 07:50:13,24.6
2019-07-06 08:00:20,24.6
2019-07-06 08:10:13,24.6
2019-07-06 08:20:13,24.6
2019-07-06 08:40:11,24.6
2019-07-06 08:50:13,24.6
2019-07-06 09:00:19,24.6
2019-07-06 09:10:12,24.6
2019-07-06 09:20:13,24.6
2019-07-06 09:30:15,24.6
2019-07-06 09:40:13,24.5
2019-07-06 09:50:13,24.5
2019-07-06 10:00:15,24.5
2019-07-06 10:10:13,24.5
2019-07-06 10:20:10,24.5
2019-07-06 10:30:13,24.5
2019-07-06 10:40:11,24.5
2019-07-06 10:50:13,24.5
2019-07-06 11:00:18,24.6
2019-07-06 11:10:12,24.5
2019-07-06 11:20:13,24.5
2019-07-06 11:30:14,24.5
2019-07-06 11:40:13,24.5
2019-07-06 11:50:11,24.5
2019-07-06 12:00:17,24.5
2019-07-06 12:10:11,24.5
2019-07-06 12:20:11,24.5
2019-07-06 12:30:15,24.4
2019-07-06 12:40:14,24.4
2019-07-06 12:50:13,24.4
2019-07-06 13:00:15,24.4
2019-07-06 13:10:11,24.4
2019-07-06 13:20:13,24.4
2019-07-06 13:30:15,24.4
2019-07-06 13:40:10,24.4
2019-07-06 13:50:13,24.4
2019-07-06 14:00:17,24.4
2019-07-06 14:10:14,24.4
2019-07-06 14:20:13,24.4
2019-07-06 14:30:15,24.5
2019-07-06 14:50:14,24.5
2019-07-06 15:00:17,24.5
2019-07-06 15:10:11,24.5
2019-07-06 15:20:11,24.5
2019-07-06 15:30:16,24.5
2019-07-06 15:40:12,24.5
2019-07-06 15:50:10,24.5
2019-07-06 16:00:18,24.5
2019-07-06 16:10:13,24.5
2019-07-06 16:20:13,24.5
2019-07-06 16:30:15,24.5
2019-07-06 16:40:11,24.5
2019-07-06 16:50:11,24.5
2019-07-06 17:00:19,24.5
2019-07-06 17:10:13,24.5
2019-07-06 17:20:13,24.5
2019-07-06 17:30:15,24.5
2019-07-06 17:40:13,24.5
2019-07-06 17:50:12,24.5
2019-07-06 18:00:18,24.5
2019-07-06 18:10:11,24.5
2019-07-06 18:20:13,24.4
2019-07-06 18:30:16,24.4
2019-07-06 18:40:10,24.4
2019-07-06 18:50:13,24.4
2019-07-06 19:00:17,24.4
2019-07-06 19:10:13,24.4
2019-07-06 19:20:14,24.4
2019-07-06 19:30:16,24.4
2019-07-06 19:40:11,24.4
2019-07-06 19:50:13,24.4
2019-07-06 20:00:17,24.4
2019-07-06 20:10:15,24.4
2019-07-06 20:20:13,24.4
2019-07-06 20:30:15,24.4
2019-07-06 20:50:13,24.4
2019-07-06 21:00:17,24.4
2019-07-06 21:10:13,24.4
2019-07-06 21:20:14,24.3
2019-07-06 21:30:16,24.3
2019-07-06 21:40:12,24.3
2019-07-06 21:50:13,24.3
2019-07-06 22:00:19,24.3
2019-07-06 22:10:13,24.3
2019-07-06 22:20:11,24.3
2019-07-06 22:30:15,24.3
2019-07-06 22:40:13,24.2
2019-07-06 22:50:11,24.2
2019-07-06 23:00:15,24.2
2019-07-06 23:10:11,24.2
2019-07-06 23:20:13,24.2
